file,chunk_id,content
Visiting and contacting a young person in detention _ Department of Youth Justice and Victim Support.pdf,0,"26/08/2025, 15:42 Visiting and contacting a young person in detention | Department of Youth Justice and Victim Support Department of Youth Justice and Victim Support Young people in detention (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention) >> Visiting and contacting a young person in detention Visiting and contacting a young person in detention We encourage you to visit a young person in a detention centre. Regular visits from family and friends help young people reintegrate with the community once they are released. Our youth detention centres are located: Brisbane Youth Detention Centre, 99 Wolston Park Road, Wacol Cleveland Youth Detention Centre, 27–79 Old Common Road, Belgian Gardens, Townsville West Moreton Youth Detention Centre, 99 Wolston Park Road, Wacol. Your visit will be in the ‘visits centre’ of the detention centre. must in advance. You arrange your visit Phone calls You can speak to a young person on the phone while they are in detention. However, a young person must call you. You won’t be able to call them unless it’s an emergency. If you have to tell a young person something that may upset them, let the staff know so they can support the young person. A young person is allowed 120 minutes of call time each week to talk to their family and friends. They can talk for up to 10 minutes at a time. They can also speak to their lawyer or caseworker, or the community visitor. These calls have no time limit and do not count towards their 120 minutes. https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/visiting-and-contacting-a-young-person-in-detention 1/4 26/08/2025, 15:42 Visiting and contacting a young person in detention | Department of Youth Justice and Victim Support Letters You can send as many letters to a young person as you like. Staff at the centre check all letters before young people receive them. Staff also check any letters that a"
Visiting and contacting a young person in detention _ Department of Youth Justice and Victim Support.pdf,1,"15:42 Visiting and contacting a young person in detention | Department of Youth Justice and Victim Support Letters You can send as many letters to a young person as you like. Staff at the centre check all letters before young people receive them. Staff also check any letters that a young person sends to you. Staff will not check letters to or from a young person’s lawyer. Send your letters to: Brisbane Youth Detention Centre PO Box 450 ARCHERFIELD BC QLD 4108 Cleveland Youth Detention Centre 27-79 Old Common Road BELGIAN GARDENS QLD 4810 West Moreton Youth Detention Centre PO Box 450 ARCHERFIELD BC QLD 4108 Your privacy If you agree to being on a young person’s personal visits list and/or a young person’s call list, your approval will apply to the young person’s current stay in youth detention as well as any future stays. You should contact the youth detention centre if you want to withdraw your approval. We will keep a record of: your name your telephone number the date and time of your visit with a young person how long your visit goes for. This is in line with the Youth Justice Act 1992 (Qld) (https://www.legislation.qld.gov.au/view/pdf/inforce/current/act-1992-044). CCTV and body worn cameras are used in youth detention centres. Audio and video footage is recorded. https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/visiting-and-contacting-a-young-person-in-detention 2/4 26/08/2025, 15:42 Visiting and contacting a young person in detention | Department of Youth Justice and Victim Support We will manage your personal information in line with the: Youth Justice Act 1992 (Qld) (https://www.legislation.qld.gov.au/view/pdf/inforce/current/act-1992-044) Information Privacy Act 2009 (Qld) (https://www.legislation.qld.gov.au/view/pdf/inforce/current/act-2009-014) You can read more about our commitment to privacy (https://www.cyjma.qld.gov.au/about-us/our-department/right-information/information- privacy) on our privacy page. More information Learn about: what rights a young person has in detention (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/life-for-young- people-in-a-detention-centre/your-childs-rights-in-detention) understanding separation in youth detention (https://www.qld.gov.au/law/sentencing- prisons-and-probation/young-offenders-and-the-justice-system/youth- detention/about-youth-detention/separation) the people who are here"
Visiting and contacting a young person in detention _ Department of Youth Justice and Victim Support.pdf,2,"(Qld) (https://www.legislation.qld.gov.au/view/pdf/inforce/current/act-1992-044) Information Privacy Act 2009 (Qld) (https://www.legislation.qld.gov.au/view/pdf/inforce/current/act-2009-014) You can read more about our commitment to privacy (https://www.cyjma.qld.gov.au/about-us/our-department/right-information/information- privacy) on our privacy page. More information Learn about: what rights a young person has in detention (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/life-for-young- people-in-a-detention-centre/your-childs-rights-in-detention) understanding separation in youth detention (https://www.qld.gov.au/law/sentencing- prisons-and-probation/young-offenders-and-the-justice-system/youth- detention/about-youth-detention/separation) the people who are here to help a young person (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/helping-young- people-in-detention) Young people in detention (https://www.youthjustice.qld.gov.au/parents- carers/youth-detention) About youth detention in Queensland (https://www.youthjustice.qld.gov.au/parents- carers/youth-detention/about) Visiting and contacting a young person in detention (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/visiting-and- contacting-a-young-person-in-detention) https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/visiting-and-contacting-a-young-person-in-detention 3/4 26/08/2025, 15:42 Visiting and contacting a young person in detention | Department of Youth Justice and Victim Support Life for young people in a detention centre 〉 (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/life-for-young- people-in-a-detention-centre) Helping young people in detention (https://www.youthjustice.qld.gov.au/parents- 〉 carers/youth-detention/helping-young-people-in-detention) Accountability in youth detention centres (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/accountability- in-youth-detention-centres) Last reviewed: 04 June 2025 Last modified: 04 June 2025  Provide feedback (https://www.families.qld.gov.au/feedback?id=34898) This work is licensed under a Creative Commons Attribution 4.0 International (CC BY 4.0) licence (https://creativecommons.org/licenses/by/4.0/) https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/visiting-and-contacting-a-young-person-in-detention 4/4"
Care in detention _ Department of Youth Justice and Victim Support.pdf,0,"26/08/2025, 15:37 Care in detention | Department of Youth Justice and Victim Support Department of Youth Justice and Victim Support Helping young people in detention (https://www.youthjustice.qld.gov.au/parents-carers/youth- detention/helping-young-people-in-detention) >> Care in detention Care in detention There are lots of people in a youth detention centre to help young people, including: detention youth workers caseworkers programs officers psychologists teachers nurses doctors speech and language pathologists cultural staff community visitors Our staff come from many different cultures and backgrounds. Everyone works together to make sure each a young person is safe and well while they are in detention. We help them with their offending behaviour and help them make better choices. We also help parents, carers and young people plan for when the young person returns home to their community. Detention youth workers Detention youth workers supervise young people while they are in detention. They check on a young person regularly through the day and night, and make sure they are okay. https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/helping-young-people-in-detention/care-in-detention 1/6 26/08/2025, 15:37 Care in detention | Department of Youth Justice and Victim Support If a young person needs to go to other areas of the youth detention centre, a detention youth worker takes them. Detention youth workers help young people in detention understand and follow the rules of the centre. A young person can talk to a detention youth worker if they need someone to talk to. Detention youth workers have special training to help keep everyone safe if young people behave inappropriately. Caseworkers Youth detention centres have caseworkers similar to the ones who work in our service centres. A young person’s caseworker meets with them regularly and keeps in contact with: their parent or carer the young person’s lawyer the young person’s youth justice service centre caseworker. The young person can talk to their caseworker if they are"
Care in detention _ Department of Youth Justice and Victim Support.pdf,1,"similar to the ones who work in our service centres. A young person’s caseworker meets with them regularly and keeps in contact with: their parent or carer the young person’s lawyer the young person’s youth justice service centre caseworker. The young person can talk to their caseworker if they are worried about anything to do with court, their family, or anything else. A young person’s caseworker talks to them about what got them into trouble. They also talk to a young person about things that might help them to stay out of trouble when they leave detention. Caseworkers help young people plan and get ready to leave detention and return to the community. This includes programs, services and planning activities in consultation with the youth justice service centre caseworker. Teachers Young people attend the detention centre’s school (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/helping-young- people-in-detention/education)while they are in detention. The teacher will work with the young person to: https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/helping-young-people-in-detention/care-in-detention 2/6 26/08/2025, 15:37 Care in detention | Department of Youth Justice and Victim Support address any learning gaps they have in literacy or numeracy learn new skills help them develop skills for returning to education, training or employment when they leave detention improve their social skills. Nurses and doctors The youth detention centre has a health centre with nurses who work 24 hours a day, 7 days a week. When a young person arrives at the youth detention centre, a nurse checks their health and their health needs. We will arrange for the young person to see the nurse, doctor or dentist at the youth detention centre when they need to. A young person can also talk to the nurse during daily visits the nurse makes around the detention centre accommodation. The nurse can help them with their health needs including immunisation, sexual health and more. If"
Care in detention _ Department of Youth Justice and Victim Support.pdf,2,"the nurse, doctor or dentist at the youth detention centre when they need to. A young person can also talk to the nurse during daily visits the nurse makes around the detention centre accommodation. The nurse can help them with their health needs including immunisation, sexual health and more. If a young person needs to see a medical specialist or go to hospital, our detention youth workers will take them to these appointments. We will also help a young person access their Medicare card and immunisation records. Speech and language pathologists Speech and language pathologists help young people at the youth detention centre who have difficulties with communication. They can help with skills such as: speaking understanding reading writing social skills. https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/helping-young-people-in-detention/care-in-detention 3/6 26/08/2025, 15:37 Care in detention | Department of Youth Justice and Victim Support Speech and language pathologists help to test and support a young person’s communication needs. They may work with a young person one-on-one or in groups. Cultural units and cultural staff Our cultural units and cultural staff help Aboriginal and Torres Strait Islander young people stay connected to their: family culture community country They give cultural support and information to young people and help with family and cultural visits. Cultural staff also work with Elders and other important community members to provide opportunities for them to talk to young people about their culture. Community visitors Community visitors work for the Office of the Public Guardian (https://www.publicguardian.qld.gov.au/about-us/child-legal-advocacy) and not for the detention centre. Community visitors check on how young people are cared for in detention and support them with any problems they might have. Community visitors talk to young people and listen to what they have to say about their time in detention. If a young person wants to talk to a community visitor, they can:"
Care in detention _ Department of Youth Justice and Victim Support.pdf,3,"on how young people are cared for in detention and support them with any problems they might have. Community visitors talk to young people and listen to what they have to say about their time in detention. If a young person wants to talk to a community visitor, they can: talk to them when they see them walking around the detention centre put a note into one of the secure letter boxes around the detention centre phone them from the phone in their accommodation unit. https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/helping-young-people-in-detention/care-in-detention 4/6 26/08/2025, 15:37 Care in detention | Department of Youth Justice and Victim Support Find out more Read more about what happens in detention (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/life-for-young- people-in-a-detention-centre) Find out what rights a young person has in detention (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/life-for-young- people-in-a-detention-centre/your-childs-rights-in-detention) Learn about support programs for young people in detention (https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/helping-young- people-in-detention/support-programs) Helping young people in detention (https://www.youthjustice.qld.gov.au/parents- carers/youth-detention/helping-young-people-in- detention) Care in detention (https://www.youthjustice.qld.gov.au/parents-carers/youth- detention/helping-young-people-in-detention/care-in-detention) Education (https://www.youthjustice.qld.gov.au/parents-carers/youth- detention/helping-young-people-in-detention/education) Support programs (https://www.youthjustice.qld.gov.au/parents-carers/youth- detention/helping-young-people-in-detention/support-programs) Health and wellbeing (https://www.youthjustice.qld.gov.au/parents-carers/youth- detention/helping-young-people-in-detention/health-and-wellbeing) Last reviewed: 26 November 2024 Last modified: 26 November 2024  Provide feedback (https://www.families.qld.gov.au/feedback?id=34926) https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/helping-young-people-in-detention/care-in-detention 5/6 26/08/2025, 15:37 Care in detention | Department of Youth Justice and Victim Support This work is licensed under a Creative Commons Attribution 4.0 International (CC BY 4.0) licence (https://creativecommons.org/licenses/by/4.0/) https://www.youthjustice.qld.gov.au/parents-carers/youth-detention/helping-young-people-in-detention/care-in-detention 6/6"
Sexting.pdf,0,"Sexting What is ‘sexting’? Sexting is creating, sending, possessing or posting sexual messages, photos or videos on phones or over the internet. Is sexting illegal? If the images are of people under 16 years and are sexual they may be classed as “child exploitation material” (commonly referred to as child pornography). It is illegal to make, distribute or possess child exploitation material.1 Child exploitation material is text, images or sound showing a person under 16 in a sexual way that is likely to offend an adult.2 It includes images of: • the person’s breasts, bottom, penis or vagina; or • the person doing something sexual or near someone doing something sexual (such as having sex). Even if the image only shows part of the person, it can still be child pornography - for example, it doesn’t show the faces of the people having sex, or if it is only a part of the body, for example exposed breasts. It doesn’t matter if the images are of you, or someone else who was ok with the image being made: if the image is of someone under 16 years then it is child pornography. It is illegal to do, or try to do, the following with child exploitation material images: • make them • have them (possession) • give them to someone, agree to give to someone by phone or email or post. It is also illegal to: • make someone under 16 years see indecent films, pictures, photos, and written material without a proper reason (for example, it’s ok for a sex education class) • use the internet or phone to get someone under 16 to do a sexual act.3 If you are 16 or 17 you could also be charged for doing similar things under Commonwealth Law. 1 Criminal Code"
Sexting.pdf,1,"without a proper reason (for example, it’s ok for a sex education class) • use the internet or phone to get someone under 16 to do a sexual act.3 If you are 16 or 17 you could also be charged for doing similar things under Commonwealth Law. 1 Criminal Code Act 1899 (Qld) ss 228B-228D. 2 Criminal Code Act 1899 (Qld) ss 228B, 207A. 3 Criminal Code Act 1899 (Qld) s 210(1)(b)-(e). Reviewed 06/08/2025 This sheet is intended to provide general legal information about the law in Queensland. This information is not legal advice. If you have a particular legal problem you should contact a solicitor for legal advice. At the end is a list of agencies that might be able to assist you, including legal agencies. Sexting What if I send sexts to someone who doesn’t want me to? If you send one or more sexts to someone and the material is offensive or harassing or threatening you could be charged with stalking. The person does not need to be afraid or suffer harm, the material just has to be of the type that would usually cause a person to be afraid or suffer harm (See the ‘Treated Unfairly & discrimination’ Fact sheet for further information about Stalking).4 If we are both under 16 is it still against the law? If you have taken a sexual photo / video of yourself and sent it to someone else then you could be charged with three separate charges of: • possessing (having) • making • sending • child exploitation material.5 If you are found guilty of these types of offences, you can be placed on the Sex Offenders Register. This means you may then have to give the Police a lot of information about yourself and any contact you have with"
Sexting.pdf,2,"(having) • making • sending • child exploitation material.5 If you are found guilty of these types of offences, you can be placed on the Sex Offenders Register. This means you may then have to give the Police a lot of information about yourself and any contact you have with people under 18 years of age for up to seven and a half years (See the Fact Sheet on ‘Child Protection Offender Reporting’ for more information). If you share or threaten to share a photo/video of someone else who is under 16 years, which shows them doing something sexual or shows their genital or anal area (even if they are wearing underwear) or their breasts (even if the person in the photo/video agrees to you sharing it) you can be charged with the criminal offence of distributing intimate images.6 This applies even if you are under the age of 16. If the person in the photo/video is over 16 it is an offence to threaten to share it or share it without their consent.7 What if someone sends me a photo or video which might be child pornography? You may now be in possession of child exploitation material. It is illegal to be in possession of child exploitation material. 4 Criminal Code Act 1899 (Qld) ss 359B-359C. 5 Criminal Code Act 1899 (Qld) ss 228B-228D. 6 Criminal Code Act 1899 (Qld) ss 223, 229A. 7 Criminal Code Act 1899 (Qld) ss 223, 229A. Sexting What do I do if I’m being bullied about a photo of myself that I sent to someone else? It is an offence to use the internet or mobile phones to menace, harass or cause offence to someone.8 You can report this to the police. You can also report it to the eSafety Commission (you can"
